,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,RightWrongWay,SeriousWork,ChallengeMyself,ChangeWorld,DifficultCommunication
ProblemSolving,1.0,0.38301471424273925,0.345034679557024,-0.08046292622146217,0.07273253197990345,-0.007272519041755439,0.22334245127014843,0.37920186975239034,0.160265145305651,-0.12187069629122914
BuildingThings,0.38301471424273925,1.0,0.320679809326635,-0.09431309969668226,0.0975004241734433,-0.013380054242047737,0.2066647035133278,0.2696402072249019,0.15721942587799315,-0.11275187851992315
LearningNewTech,0.345034679557024,0.320679809326635,1.0,-0.03282566934256111,0.05305935652399045,0.0648766805351332,0.20751873573654764,0.35063312934653423,0.1738638388290162,-0.07642469657771152
BoringDetails,-0.08046292622146217,-0.09431309969668226,-0.03282566934256111,1.0,0.01520458465664863,0.046921274646163406,-0.12440656316108026,-0.05108752701514704,0.015221176895328158,0.14318203290925044
JobSecurity,0.07273253197990345,0.0975004241734433,0.05305935652399045,0.01520458465664863,1.0,0.050721329905123694,0.0956940241891948,0.004466482829951587,-0.019434539590447684,0.02993852077190582
RightWrongWay,-0.007272519041755439,-0.013380054242047737,0.0648766805351332,0.046921274646163406,0.050721329905123694,1.0,0.11744285710993525,0.038643988092819014,0.05931811462862398,0.06203528919890374
SeriousWork,0.22334245127014843,0.2066647035133278,0.20751873573654764,-0.12440656316108026,0.0956940241891948,0.11744285710993525,1.0,0.2668925093897194,0.15278754911874348,-0.10187001931965133
ChallengeMyself,0.37920186975239034,0.2696402072249019,0.35063312934653423,-0.05108752701514704,0.004466482829951587,0.038643988092819014,0.2668925093897194,1.0,0.25233182671020465,-0.12579698466029957
ChangeWorld,0.160265145305651,0.15721942587799315,0.1738638388290162,0.015221176895328158,-0.019434539590447684,0.05931811462862398,0.15278754911874348,0.25233182671020465,1.0,-0.00999047831599842
DifficultCommunication,-0.12187069629122914,-0.11275187851992315,-0.07642469657771152,0.14318203290925044,0.02993852077190582,0.06203528919890374,-0.10187001931965133,-0.12579698466029957,-0.00999047831599842,1.0
