,Redis,PostgreSQL,Oracle,MySQL,SQL Server,MongoDB,SQLite,Cassandra
1,0,0,0,1,0,0,1,0
2,0,0,0,1,0,0,0,0
3,1,0,0,1,1,1,1,0
5,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,1,0
7,1,1,0,1,0,0,0,0
8,0,0,0,0,1,0,0,0
9,0,1,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0
13,1,1,0,1,0,0,0,0
17,0,1,1,1,0,0,0,0
19,0,0,0,1,0,0,0,0
21,0,0,0,0,1,0,0,0
22,0,0,0,1,0,0,0,1
23,0,0,0,1,0,0,0,0
25,0,0,0,1,0,0,0,0
26,0,0,0,1,0,1,0,0
33,0,0,0,0,0,1,0,0
34,0,0,0,1,0,0,0,0
35,1,1,0,0,1,1,0,1
36,0,0,0,0,1,0,0,0
37,0,0,0,0,1,0,1,0
38,0,0,0,0,1,0,1,0
42,0,0,0,1,0,0,0,0
44,0,0,0,1,1,1,0,0
47,0,0,1,1,1,0,0,0
48,1,1,0,1,0,1,1,0
49,0,0,1,0,1,1,0,0
50,0,0,0,0,0,1,0,0
51,0,1,1,0,0,1,1,0
52,1,0,0,1,0,0,0,0
53,1,0,0,1,1,0,0,0
54,1,0,0,1,0,1,1,0
55,0,0,0,1,1,0,0,0
58,0,0,0,0,1,0,0,0
61,0,0,0,0,1,0,0,0
62,0,0,0,1,0,0,0,0
63,0,1,1,1,1,1,1,0
64,0,1,1,1,1,0,1,0
65,1,0,0,1,0,1,0,0
67,0,0,0,1,0,0,0,0
68,1,1,0,0,0,0,0,0
70,1,1,0,0,0,0,1,0
71,1,0,0,1,0,0,0,0
72,0,0,0,0,0,0,0,1
73,0,1,0,0,0,0,1,0
75,0,0,1,1,0,0,1,0
76,0,0,0,0,1,0,0,0
80,0,1,0,1,1,1,1,0
81,0,0,0,1,1,0,0,0
82,0,0,0,0,1,0,0,0
83,0,0,0,1,0,0,0,0
84,0,0,0,1,0,0,0,0
88,0,1,0,0,0,0,0,0
89,1,1,0,0,0,0,0,0
91,1,1,0,0,0,1,0,0
93,0,0,0,0,1,0,0,0
94,0,0,0,0,1,0,1,0
95,0,0,0,1,0,0,1,0
96,0,0,0,0,1,0,0,0
97,0,0,0,0,1,0,0,0
99,0,1,0,0,0,0,0,0
100,0,1,0,0,0,0,0,0
102,0,0,0,0,1,0,0,0
103,0,0,0,1,0,0,0,0
104,0,0,1,0,0,0,0,0
105,0,0,0,0,0,0,1,0
106,0,0,0,0,1,0,1,0
108,0,0,0,0,0,0,1,0
109,1,1,0,1,0,0,0,0
110,1,0,0,1,0,0,0,0
111,0,0,1,1,0,0,0,0
112,0,0,0,1,0,0,0,0
114,0,0,0,1,0,0,0,0
115,0,0,0,0,1,0,0,0
116,0,1,0,0,0,0,0,0
