,Spark,React,.NET Core,Firebase,AngularJS,Node.js,Hadoop,Cordova,Xamarin
1,0,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0
8,0,0,1,0,1,1,0,0,0
13,0,1,0,0,0,0,0,0,0
16,0,1,0,0,1,1,0,1,0
17,0,1,0,0,0,0,0,0,0
21,0,0,0,0,1,0,0,0,0
22,1,0,0,0,0,0,1,0,0
25,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,1,1,0,0
28,0,0,0,0,0,1,0,0,0
33,0,1,0,1,0,1,0,0,0
35,0,0,1,0,1,0,0,0,0
36,0,0,0,0,1,0,0,0,0
37,0,0,1,0,0,1,0,0,0
38,0,0,0,0,0,1,0,0,0
42,0,0,0,0,1,1,0,0,0
47,0,0,1,0,0,0,0,1,1
48,0,1,0,0,0,1,0,0,0
49,0,0,0,0,0,0,0,0,1
50,0,0,0,0,1,1,0,0,0
51,0,0,0,0,0,0,1,0,0
52,0,0,0,0,1,1,0,0,0
54,0,0,0,0,1,1,0,1,0
56,0,0,1,0,0,0,0,0,0
58,0,0,1,1,1,1,0,0,0
60,0,0,1,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,0
64,0,0,1,0,0,0,0,0,0
65,0,1,0,0,1,1,0,0,0
66,0,0,1,0,0,0,0,0,0
68,0,1,0,0,0,1,0,0,0
72,1,1,0,0,0,1,0,0,1
73,0,0,0,0,1,0,0,0,0
80,0,1,1,1,1,1,1,1,0
82,0,0,1,0,1,1,0,0,0
83,0,1,0,0,1,1,1,0,0
84,0,0,0,0,0,1,0,0,0
88,0,0,1,0,0,1,0,0,0
89,1,1,0,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0,0
91,0,0,0,0,0,1,0,1,0
96,0,0,0,0,1,1,0,0,0
97,0,0,0,0,1,0,0,0,0
105,0,1,0,0,0,0,0,0,0
106,0,0,0,1,0,0,0,0,0
108,0,0,0,0,0,0,0,0,1
109,0,1,0,0,0,0,0,0,0
111,0,0,0,0,0,1,0,0,0
114,0,0,1,0,0,0,0,0,1
115,0,0,0,0,0,1,0,0,0
116,0,0,0,0,0,1,0,0,0
117,0,0,1,0,0,0,0,0,0
121,0,1,1,1,1,1,0,1,1
122,0,0,1,0,0,0,0,0,0
123,0,0,1,0,0,0,0,0,0
124,1,1,0,0,0,0,0,0,0
125,0,1,1,0,0,0,0,0,0
126,0,0,1,0,0,1,0,0,0
130,0,0,0,1,0,0,0,0,0
132,0,1,0,0,0,1,0,0,0
133,0,0,0,1,1,0,1,1,0
136,0,0,1,0,1,0,0,0,0
142,0,0,1,0,0,0,0,0,0
143,0,0,1,0,0,0,1,0,0
146,1,0,1,0,1,1,1,0,0
148,0,1,0,0,0,1,0,0,0
149,0,0,0,0,0,0,0,0,1
155,0,0,0,0,0,1,0,0,0
156,0,0,0,0,1,0,0,0,0
159,0,1,0,1,0,1,0,0,0
162,1,0,0,0,1,1,1,0,0
165,0,1,0,0,1,1,0,0,0
168,1,1,0,0,1,1,1,0,0
169,0,1,0,0,0,1,0,0,0
172,0,1,0,0,1,0,0,0,0
173,0,0,0,0,0,1,0,0,0
174,0,1,0,0,0,1,0,0,0
175,0,1,0,0,0,1,0,0,0
176,0,0,1,0,0,0,0,0,0
177,0,0,1,0,1,1,0,1,1
178,0,0,0,0,1,0,0,0,0
