,Mainframe,Raspberry Pi,Linux Desktop,SharePoint,Amazon Web Services (AWS),Android,Windows Phone,WordPress,iOS,Mac OS,Microsoft Azure,Arduino,Serverless,Salesforce,Windows Desktop
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
48,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
49,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
51,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
66,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
