,SQLite,MySQL,Cassandra,Oracle,MongoDB,PostgreSQL,Redis,SQL Server
1,1,1,0,0,0,0,0,0
3,1,1,0,0,1,0,1,1
6,1,0,0,0,1,1,0,1
8,0,0,1,0,0,0,1,0
10,0,0,0,0,0,0,0,1
13,0,0,0,0,0,1,1,0
15,0,0,0,0,0,0,0,1
19,0,0,0,0,0,1,0,0
21,0,0,0,0,1,0,1,0
22,0,0,0,0,1,0,0,0
23,0,1,0,0,0,1,1,0
25,0,0,1,0,0,0,0,0
26,0,0,0,0,1,0,0,1
33,0,0,1,0,0,0,1,0
34,0,0,0,0,1,0,0,0
35,0,0,0,0,1,1,1,0
36,1,0,0,0,0,0,1,1
37,0,0,0,0,0,0,0,1
38,0,0,0,0,1,0,0,0
42,0,1,0,0,1,1,0,0
47,1,0,0,1,1,0,0,1
48,0,0,0,0,1,1,1,0
49,0,0,0,0,0,0,1,0
50,0,0,0,0,1,0,0,0
51,1,0,0,1,0,0,0,0
52,0,0,0,0,0,1,1,0
53,0,1,0,0,0,0,1,0
56,0,0,0,0,0,0,0,1
58,0,0,0,0,1,0,0,0
61,1,0,0,1,0,0,0,0
62,0,1,0,0,0,0,0,0
64,0,0,1,0,1,0,0,0
65,0,1,0,0,1,0,1,0
68,0,0,0,0,0,1,1,0
71,0,1,0,0,0,0,1,0
72,0,0,1,0,0,1,1,0
73,1,0,0,1,0,0,0,0
75,1,0,0,0,0,1,0,0
76,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,1
82,0,0,0,0,1,0,1,0
84,0,1,0,0,0,0,0,0
88,0,0,0,0,0,1,0,0
91,0,0,0,0,0,1,1,0
93,0,0,1,0,0,1,1,1
94,0,1,0,0,0,1,1,0
95,0,0,0,0,0,1,0,0
96,0,1,0,0,1,0,0,0
97,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,1
103,0,0,0,0,0,1,0,0
104,0,0,1,0,1,0,1,0
106,1,0,0,0,0,0,0,1
107,1,1,0,0,0,0,0,1
109,0,0,0,0,0,1,0,0
111,1,0,0,1,1,0,0,0
112,0,0,0,0,1,0,0,0
114,1,1,0,0,0,0,0,1
115,0,0,0,0,0,0,0,1
116,0,0,0,0,0,1,0,0
117,0,0,0,1,0,0,0,0
121,1,1,1,0,1,0,1,1
122,0,1,0,1,0,1,0,0
123,0,0,0,0,1,0,1,0
124,0,0,0,0,0,1,0,0
130,0,0,0,0,1,0,0,0
133,0,1,1,0,0,0,1,0
134,0,0,0,0,0,0,0,1
135,0,1,0,0,0,1,1,0
136,0,0,0,0,1,0,0,1
142,0,0,0,1,1,0,0,1
148,0,0,1,0,0,0,0,0
153,1,0,0,0,0,0,0,0
154,0,1,0,0,0,1,0,1
155,0,1,0,0,0,0,0,0
156,0,0,0,0,0,1,1,0
157,0,0,0,0,0,0,1,1
158,1,1,0,0,0,1,1,0
159,0,0,0,0,0,1,1,0
167,0,0,0,0,0,0,0,1
168,0,1,0,0,0,0,0,0
169,0,0,0,0,0,1,1,0
170,0,0,0,0,0,1,1,0
172,0,0,0,0,0,0,0,1
173,0,0,0,0,0,1,0,0
175,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,1
177,0,0,0,0,0,1,1,0
178,1,1,0,0,1,1,0,1
179,0,0,0,0,0,0,1,0
180,0,1,0,0,1,0,1,0
181,0,0,0,0,0,1,1,0
182,0,1,1,0,0,1,0,0
183,0,0,1,0,1,0,0,0
184,0,1,0,0,1,1,1,0
190,0,0,0,0,0,1,0,0
192,0,1,0,0,0,0,1,0
197,0,0,0,0,1,0,0,0
206,0,0,0,0,1,1,0,0
207,1,0,0,0,1,0,0,0
210,1,1,0,1,0,0,0,1
211,0,0,0,0,1,0,1,1
214,1,0,0,0,0,0,0,0
215,0,0,0,0,0,0,1,0
216,1,0,0,0,0,0,0,1
218,1,0,0,0,1,0,0,1
220,0,1,0,0,1,0,0,0
222,0,0,0,0,0,1,0,0
223,0,0,0,0,0,0,0,1
224,0,0,0,0,0,0,0,1
229,1,0,0,0,0,0,0,0
230,0,0,1,0,0,0,1,0
232,0,0,0,0,0,1,1,0
237,0,0,0,0,1,0,0,1
238,0,0,0,1,0,0,0,0
242,1,0,0,0,0,0,0,0
246,0,1,0,0,0,0,0,0
249,1,1,0,0,1,0,1,1
250,0,0,0,0,1,0,0,0
253,0,0,0,0,0,0,0,1
254,1,0,1,0,1,0,1,1
255,1,0,0,0,0,1,0,0
258,1,1,0,0,0,0,0,0
265,1,0,0,0,0,1,1,0
266,1,0,0,0,0,1,1,0
267,0,1,0,0,0,0,0,1
271,0,1,0,0,0,0,0,0
273,0,0,1,1,0,1,1,0
278,0,0,0,0,0,0,0,1
279,0,0,1,0,1,1,1,0
280,0,1,0,0,0,0,0,0
281,0,0,0,0,0,0,1,0
284,0,1,1,0,1,0,1,0
285,0,0,0,0,1,0,0,1
286,0,1,0,0,0,0,0,1
288,0,0,1,0,0,0,0,1
289,0,0,1,0,0,0,0,0
290,0,1,0,0,1,0,1,0
292,0,1,0,0,0,0,0,0
294,0,0,0,0,0,0,0,1
296,0,0,0,0,1,0,0,1
297,1,0,0,0,1,1,0,0
299,0,1,0,0,0,0,0,0
300,0,0,0,0,0,0,0,1
303,0,0,0,0,1,0,0,0
306,1,0,0,0,1,0,0,1
308,0,0,0,0,1,0,0,0
310,0,0,0,0,1,0,0,0
314,0,1,0,0,0,0,0,0
315,0,0,0,0,0,1,0,0
316,0,0,0,0,0,0,1,0
317,0,0,0,0,1,0,0,0
322,0,0,1,0,1,1,0,0
324,0,0,0,0,0,0,1,1
326,0,0,0,0,0,1,0,0
329,0,0,0,0,0,0,0,1
330,1,1,0,0,0,0,0,0
331,1,1,0,0,1,1,0,1
334,0,1,0,1,0,0,0,0
335,0,0,0,0,0,1,1,0
336,1,0,0,1,0,0,0,0
341,0,1,0,0,1,0,1,0
342,1,1,1,0,0,0,1,0
343,0,0,0,0,1,0,0,0
345,0,0,0,0,0,0,0,1
347,0,0,0,0,0,1,0,0
349,0,0,0,0,0,0,0,1
357,0,0,0,0,0,0,0,1
359,0,0,1,0,1,0,1,0
362,1,0,1,0,0,0,1,1
363,0,1,1,0,0,1,0,0
364,1,0,0,0,0,0,0,0
370,0,1,0,0,1,0,0,0
