,Spark,Xamarin,Hadoop,Node.js,.NET Core,AngularJS,Cordova,Firebase,React
1,0,0,0,0,1,0,0,0,0
3,0,0,1,1,0,0,0,0,1
6,0,0,1,1,0,0,0,0,0
8,1,0,1,0,0,0,0,0,1
9,0,0,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,1
15,0,1,0,0,1,0,0,0,0
17,0,0,0,0,1,0,0,0,1
21,0,0,0,0,1,0,0,0,1
22,1,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,0,0,1
25,1,0,0,0,0,1,0,0,0
26,0,0,1,1,0,0,0,0,0
33,0,0,0,0,0,1,0,0,0
35,1,0,1,0,0,1,0,0,1
36,1,1,0,0,1,1,0,0,0
37,0,0,0,0,1,0,0,0,1
38,0,0,0,0,1,0,0,0,0
42,0,0,0,1,0,0,0,0,0
44,1,0,0,0,0,0,0,0,1
47,0,1,0,0,1,1,1,0,0
48,0,0,0,1,0,0,0,0,1
49,0,0,0,0,1,1,0,0,0
50,0,0,0,1,0,1,0,0,1
52,0,0,0,0,0,1,0,0,1
53,0,0,0,1,0,0,0,0,1
54,0,0,0,0,0,0,0,0,1
56,0,1,0,0,1,0,0,0,0
57,0,0,0,0,1,0,0,0,0
58,0,0,0,1,1,1,0,1,0
60,0,1,0,0,1,0,0,0,0
61,0,0,0,0,0,1,0,0,0
64,0,1,0,0,0,0,0,0,0
65,0,0,0,1,0,0,0,0,1
66,0,0,0,0,1,0,0,0,0
70,0,0,0,0,0,0,0,0,1
72,1,1,0,1,1,0,0,0,1
75,0,0,1,0,0,0,0,0,1
76,0,0,0,0,1,0,0,0,0
82,0,0,0,1,0,1,0,0,1
83,0,0,0,1,0,1,0,0,0
84,0,0,0,1,0,1,0,1,0
89,0,0,0,0,0,0,0,0,1
90,0,0,0,1,0,0,0,0,0
91,0,0,1,0,0,0,0,0,0
93,1,0,0,1,1,0,0,0,1
94,0,1,0,0,1,1,0,0,1
95,0,0,0,1,0,1,0,0,1
96,0,0,0,1,1,1,0,0,0
97,0,1,0,0,0,1,0,0,0
102,0,0,0,0,1,0,0,0,0
104,0,0,0,1,1,1,0,0,1
106,0,0,0,0,0,0,0,1,0
107,0,0,0,0,1,0,0,0,0
108,0,0,0,0,0,1,0,0,0
109,1,0,1,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,1
111,0,0,0,1,0,1,0,0,1
112,1,0,1,0,0,1,0,0,0
114,0,0,0,0,1,0,0,0,0
115,0,0,0,1,1,0,0,0,0
116,0,0,0,1,0,0,1,0,0
117,0,0,0,1,0,1,0,0,0
118,0,0,0,0,1,0,0,0,0
121,0,0,0,1,1,1,1,1,0
123,1,0,1,1,0,1,0,0,0
124,1,0,0,0,0,0,0,0,1
125,0,0,0,1,0,1,0,0,0
130,0,1,0,0,1,0,0,0,0
133,1,0,1,0,0,1,0,0,1
134,0,1,0,1,1,1,0,0,0
136,0,0,1,1,1,1,0,0,1
142,0,0,0,1,0,1,0,0,0
143,0,1,0,0,1,0,0,0,0
149,0,0,0,0,1,0,0,0,0
153,0,0,0,1,0,1,0,0,1
154,0,0,0,1,1,0,0,0,0
155,0,0,0,1,0,0,0,0,0
156,0,0,0,1,0,1,0,0,1
157,0,0,0,0,1,0,0,0,0
159,0,0,0,1,0,0,0,0,1
161,0,1,0,1,0,0,0,0,0
162,0,0,0,0,1,0,0,0,0
165,0,0,0,1,0,0,0,0,1
168,1,0,1,1,1,0,0,0,0
169,0,0,0,1,0,0,0,0,1
170,0,0,0,0,0,0,0,0,1
173,0,0,0,0,0,0,0,0,1
174,0,0,0,1,0,0,0,0,1
175,1,0,1,1,1,0,0,0,1
176,1,0,0,0,1,0,0,0,0
177,0,0,0,0,0,1,0,0,0
178,0,1,1,1,1,1,1,0,1
179,0,0,0,1,0,0,0,1,1
180,0,0,0,1,0,0,0,0,1
181,1,0,0,0,1,0,0,0,0
182,0,0,0,1,0,0,0,0,0
184,0,0,0,1,0,0,0,0,1
189,0,0,0,0,0,0,0,0,1
190,0,0,0,0,0,1,0,1,1
192,0,0,0,0,0,0,0,0,1
193,0,0,0,1,0,0,0,0,1
196,0,0,0,1,0,0,0,0,0
206,0,0,0,1,1,1,0,0,1
209,0,0,0,1,1,1,0,0,0
210,0,1,0,1,1,1,0,0,0
211,0,0,0,0,1,1,0,0,0
212,0,1,0,0,1,0,0,0,0
214,1,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,1,0
216,0,0,0,0,1,0,0,0,0
218,0,1,0,1,1,1,0,0,0
220,0,0,0,0,0,0,0,0,1
222,0,0,0,1,0,0,0,0,0
223,0,0,0,1,1,0,0,0,0
224,0,0,0,0,1,1,0,0,1
230,1,0,0,0,0,0,0,0,1
232,0,0,0,1,0,1,0,0,1
234,0,0,0,0,0,0,0,0,1
237,0,0,1,0,1,0,0,0,1
249,1,0,1,1,0,1,0,0,0
250,1,0,1,1,0,1,0,0,0
254,1,1,1,1,1,1,1,1,1
255,0,0,0,1,0,0,0,0,0
257,0,0,0,1,0,0,0,0,0
258,0,0,0,0,1,0,0,0,0
260,0,0,0,0,1,0,0,0,1
264,0,0,0,0,0,1,0,0,0
265,0,0,0,0,1,0,0,0,1
266,0,0,0,0,1,0,0,0,0
267,0,0,0,0,1,0,0,0,0
273,0,0,0,1,0,1,0,0,1
274,0,0,0,1,0,0,0,0,0
276,0,0,0,1,1,0,0,0,0
278,0,1,0,0,1,0,0,0,0
281,0,0,0,1,1,0,0,0,1
284,1,0,1,1,0,0,0,0,1
285,0,1,0,1,1,1,0,0,1
286,0,0,0,0,1,0,0,0,0
288,0,0,1,1,0,1,0,0,0
290,0,0,1,1,0,0,0,0,0
292,0,0,0,1,1,0,1,1,1
294,0,1,0,0,1,1,0,0,0
295,0,0,0,0,1,0,0,0,0
296,0,0,0,0,1,1,0,0,0
297,0,0,1,1,0,0,0,0,0
299,0,0,0,1,0,0,0,0,0
300,0,0,0,0,1,0,0,0,1
303,0,0,0,0,0,1,0,0,1
305,0,0,0,0,0,0,0,0,1
306,0,1,1,0,1,1,0,0,1
315,0,0,0,0,1,0,0,0,0
316,0,0,0,0,0,0,0,0,1
317,0,0,0,0,1,0,0,0,0
318,0,0,0,0,0,1,0,0,1
322,1,0,1,0,0,0,0,0,0
323,0,1,0,0,1,1,0,0,0
324,0,0,0,0,0,1,0,1,0
329,0,1,0,0,1,0,0,0,0
330,0,1,0,0,0,0,0,0,0
331,0,1,0,1,0,1,0,0,0
334,0,0,0,1,0,0,1,1,0
336,0,0,0,0,0,0,0,1,1
342,0,0,1,1,0,0,0,0,0
344,0,0,1,1,0,0,0,0,0
345,0,0,0,0,1,1,0,0,1
349,0,1,0,0,1,0,0,0,1
350,1,0,0,0,0,0,0,0,0
351,0,0,0,1,0,0,0,0,1
352,1,0,1,0,0,0,0,0,1
355,0,0,0,1,0,0,0,0,0
357,0,0,0,1,0,0,0,0,1
359,0,0,0,1,0,0,1,0,1
362,0,1,0,1,1,1,0,0,0
363,1,0,1,0,0,1,0,0,1
364,0,0,0,0,1,0,0,0,0
370,0,0,0,1,0,1,1,0,1
373,0,0,0,0,1,0,0,0,0
374,0,0,0,1,1,0,0,0,0
376,0,0,0,0,0,1,0,1,1
380,0,0,0,0,1,1,0,0,0
