,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
9,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
21,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
42,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
47,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1
48,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
49,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
68,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
71,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
73,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
81,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
82,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
94,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
102,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
106,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
109,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
117,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
118,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1
121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
125,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
133,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
136,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
142,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
143,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
149,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
154,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
170,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
177,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
178,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
179,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
