,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
15,-0.7660808685591612,2,3,4,2,Desktop applications developer
64,0.08566950123383323,4,3,5,2,Desktop applications developer
107,-1.3323139442691638,1,3,2,4,Desktop applications developer
113,1.7665277357875893,3,4,3,3,Desktop applications developer
329,0.10351049381009496,2,3,3,2,Desktop applications developer
350,2.2179315230444505,4,4,1,3,Desktop applications developer
399,-0.2176887854254132,2,4,3,3,Desktop applications developer
413,0.6519025769438392,3,4,2,2,Desktop applications developer
475,0.6519025769438392,3,4,3,3,Desktop applications developer
611,-0.3478932934467664,4,4,3,2,Desktop applications developer
701,1.2002946600775835,2,4,3,2,Desktop applications developer
744,-1.3323139442691638,2,5,4,1,Desktop applications developer
873,-0.2176887854254132,1,5,3,2,Desktop applications developer
875,-1.3323139442691638,3,4,3,2,Desktop applications developer
922,1.218135652653845,5,3,3,2,Desktop applications developer
983,1.233510872222054,4,5,5,3,Desktop applications developer
1216,0.6519025769438392,2,4,3,2,Desktop applications developer
1263,-0.4959387940443814,1,5,2,3,Desktop applications developer
1330,1.0700901520562303,2,5,2,1,Desktop applications developer
1371,-0.7660808685591572,2,4,2,2,Desktop applications developer
1544,0.6519025769438392,4,4,2,3,Desktop applications developer
1850,-0.880910157012302,3,3,1,5,Desktop applications developer
1913,-0.7660808685591572,3,5,2,2,Desktop applications developer
2047,0.2004987896869778,2,5,1,1,Desktop applications developer
2181,0.2337150018314483,2,4,3,2,Desktop applications developer
2329,-0.7660808685591572,2,5,5,2,Desktop applications developer
2366,-0.2176887854254132,3,4,3,2,Desktop applications developer
2421,2.3149198189213336,2,2,2,2,Desktop applications developer
2621,1.1033063642007006,3,5,2,2,Desktop applications developer
2792,-1.3323139442691638,1,5,3,1,Desktop applications developer
2943,-1.3323139442691638,3,4,3,2,Desktop applications developer
3048,1.651698447334445,2,5,4,3,Desktop applications developer
3077,0.7999480775414544,2,4,3,2,Desktop applications developer
3104,0.6519025769438392,2,4,2,2,Desktop applications developer
3196,0.2337150018314483,4,4,4,3,Desktop applications developer
3308,-0.3478932934467664,2,3,4,4,Desktop applications developer
3343,0.6697435695201008,2,2,3,4,Desktop applications developer
3442,-1.3323139442691638,2,4,5,1,Desktop applications developer
3621,0.7821070849651927,2,3,4,1,Desktop applications developer
3749,0.6519025769438392,4,4,2,2,Desktop applications developer
3876,-0.7660808685591572,4,5,5,1,Desktop applications developer
4000,1.3483401606751986,3,3,4,2,Desktop applications developer
4079,0.6519025769438392,3,4,4,2,Desktop applications developer
4218,-0.7839218611354192,3,3,2,2,Desktop applications developer
4299,-0.36573428602302815,4,4,1,3,Desktop applications developer
4326,0.6519025769438392,3,2,4,2,Desktop applications developer
4446,0.08566950123383324,2,5,5,5,Desktop applications developer
4492,0.18265779711071606,3,2,4,2,Desktop applications developer
4533,-0.2176887854254132,3,3,2,2,Desktop applications developer
4607,-0.7660808685591572,3,4,2,4,Desktop applications developer
4771,-0.7660808685591572,2,5,4,1,Desktop applications developer
4830,1.7665277357875893,1,5,3,2,Desktop applications developer
4855,-0.7660808685591572,3,5,3,2,Desktop applications developer
4900,0.2337150018314483,2,5,4,4,Desktop applications developer
4920,-0.7660808685591572,2,5,2,2,Desktop applications developer
4925,-0.7660808685591572,2,4,3,2,Desktop applications developer
4927,-0.2176887854254132,2,5,2,2,Desktop applications developer
5018,-0.19984779284915144,1,4,2,3,Desktop applications developer
5071,-0.2176887854254132,2,5,2,2,Desktop applications developer
5125,1.0700901520562303,3,3,3,2,Desktop applications developer
5266,0.330703297708331,2,3,3,2,Desktop applications developer
5304,0.6519025769438392,2,5,3,2,Desktop applications developer
5313,0.2004987896869778,3,4,2,2,Desktop applications developer
5364,-1.3323139442691638,3,4,5,2,Desktop applications developer
5400,2.3481360310658044,2,4,5,4,Desktop applications developer
5552,-0.7839218611354192,4,5,3,1,Desktop applications developer
5632,0.2337150018314483,2,3,3,1,Desktop applications developer
5655,-0.7660808685591572,1,5,4,4,Desktop applications developer
5695,-0.7660808685591572,2,3,3,2,Desktop applications developer
5700,-0.7660808685591572,2,1,5,1,Desktop applications developer
5729,0.2337150018314483,3,4,3,2,Desktop applications developer
5739,-0.7660808685591572,2,4,3,1,Desktop applications developer
5774,-1.3323139442691638,2,5,2,1,Desktop applications developer
5837,-0.31467708130229605,2,4,3,2,Desktop applications developer
5841,-0.31467708130229605,3,3,4,2,Desktop applications developer
5882,-0.7839218611354192,4,3,3,1,Desktop applications developer
6032,-0.2176887854254132,4,4,3,2,Desktop applications developer
6037,-0.31467708130229605,4,5,2,2,Desktop applications developer
6147,-0.36573428602302815,3,2,4,5,Desktop applications developer
6202,-0.7660808685591572,1,5,2,2,Desktop applications developer
6334,-0.7839218611354192,1,4,5,3,Desktop applications developer
6349,0.5038570763462242,2,3,2,2,Desktop applications developer
6448,0.6519025769438392,4,2,1,1,Desktop applications developer
6460,-0.2176887854254132,2,4,2,1,Desktop applications developer
6542,0.6519025769438392,3,4,3,2,Desktop applications developer
6671,-1.3323139442691638,1,3,2,2,Desktop applications developer
6730,0.7667318653969837,2,4,4,2,Desktop applications developer
6843,-1.3323139442691638,3,3,3,2,Desktop applications developer
6867,-1.3323139442691638,4,4,2,1,Desktop applications developer
7039,0.7488908728207221,2,4,3,2,Desktop applications developer
7051,0.330703297708331,2,3,3,2,Desktop applications developer
7141,-0.7660808685591572,1,2,4,1,Desktop applications developer
7151,-1.3323139442691638,1,4,5,1,Desktop applications developer
7362,1.2002946600775835,1,5,3,4,Desktop applications developer
7544,1.7843687283638512,2,4,4,2,Desktop applications developer
7894,1.218135652653845,2,3,4,2,Desktop applications developer
7977,0.6697435695201008,3,4,1,3,Desktop applications developer
8021,1.315123948530728,2,4,3,2,Desktop applications developer
8027,1.6695394399107062,3,3,2,2,Desktop applications developer
8180,0.10351049381009496,2,3,3,2,Desktop applications developer
8257,-0.7839218611354192,2,4,5,1,Desktop applications developer
8281,0.7488908728207221,2,4,2,1,Desktop applications developer
8440,0.6519025769438392,2,4,2,2,Desktop applications developer
8505,-1.3323139442691638,1,5,2,1,Desktop applications developer
8538,1.218135652653845,2,3,4,2,Desktop applications developer
8651,2.6361190981568416,2,2,2,3,Desktop applications developer
9108,-0.2176887854254132,3,4,3,3,Desktop applications developer
9109,0.6697435695201008,4,2,4,2,Desktop applications developer
9317,0.3485442902845928,2,3,2,3,Desktop applications developer
9424,1.6363232277662363,2,4,2,2,Desktop applications developer
9607,0.7667318653969837,1,5,3,3,Desktop applications developer
9653,-0.880910157012302,1,5,2,1,Desktop applications developer
9781,-0.23552977800167496,1,5,2,3,Desktop applications developer
9782,0.6519025769438392,3,4,3,2,Desktop applications developer
9800,2.2511477351889213,2,3,3,2,Desktop applications developer
9811,-1.3323139442691638,4,5,5,1,Desktop applications developer
9830,-0.2176887854254132,4,4,4,1,Desktop applications developer
9839,0.2004987896869778,2,4,1,3,Desktop applications developer
9894,0.3485442902845928,1,5,2,2,Desktop applications developer
9906,0.6519025769438392,3,4,3,2,Desktop applications developer
9934,1.315123948530728,5,3,3,2,Desktop applications developer
9957,0.6519025769438392,3,4,2,2,Desktop applications developer
9966,0.6519025769438392,2,4,4,3,Desktop applications developer
10004,-1.3323139442691638,3,5,3,3,Desktop applications developer
10108,-0.7660808685591572,3,4,2,2,Desktop applications developer
10149,1.7665277357875893,2,4,3,2,Desktop applications developer
10166,0.2337150018314483,4,4,4,2,Desktop applications developer
10173,1.7843687283638512,4,4,3,3,Desktop applications developer
10186,-0.19984779284915144,2,2,3,3,Desktop applications developer
10201,0.08566950123383324,3,3,3,2,Desktop applications developer
10233,0.6519025769438392,2,5,3,4,Desktop applications developer
10269,-0.7839218611354192,2,3,3,1,Desktop applications developer
10295,-0.462722581899911,3,3,4,4,Desktop applications developer
10373,1.2002946600775835,4,5,4,2,Desktop applications developer
10385,-0.33251807387855764,3,3,3,2,Desktop applications developer
10406,1.6695394399107062,2,4,3,2,Desktop applications developer
10454,0.6519025769438392,3,4,5,3,Desktop applications developer
10545,-0.31467708130229605,3,4,5,3,Desktop applications developer
10631,0.2337150018314483,2,4,3,4,Desktop applications developer
10680,-0.7660808685591572,2,3,2,2,Desktop applications developer
10718,1.218135652653845,4,5,3,2,Desktop applications developer
11075,1.218135652653845,3,4,4,3,Desktop applications developer
11079,0.10351049381009496,2,4,3,2,Desktop applications developer
11100,-0.7660808685591572,3,5,3,2,Desktop applications developer
11139,-1.3323139442691638,2,4,3,2,Desktop applications developer
11367,-0.2176887854254132,3,5,2,2,Desktop applications developer
11619,1.3483401606751986,2,4,4,3,Desktop applications developer
11685,0.6519025769438392,2,3,5,3,Desktop applications developer
11688,-0.31467708130229605,2,3,4,2,Desktop applications developer
11742,1.6184822351899744,3,4,4,3,Desktop applications developer
11783,0.2004987896869778,2,1,2,4,Desktop applications developer
12162,-0.2176887854254132,2,2,2,4,Desktop applications developer
12257,0.7488908728207221,3,3,4,2,Desktop applications developer
12420,0.6519025769438392,2,4,2,1,Desktop applications developer
12695,1.2691928573745772,2,4,5,4,Desktop applications developer
12702,0.2004987896869778,2,4,3,2,Desktop applications developer
12774,-0.19984779284915144,5,3,5,3,Desktop applications developer
12842,-0.7660808685591572,2,4,3,4,Desktop applications developer
12989,0.2004987896869778,3,5,3,2,Desktop applications developer
13049,-1.3323139442691638,2,5,3,1,Desktop applications developer
13051,0.7999480775414544,3,5,3,1,Desktop applications developer
13055,1.2002946600775835,2,3,3,2,Desktop applications developer
13095,-0.7660808685591572,4,4,3,2,Desktop applications developer
13124,-0.2176887854254132,5,4,3,1,Desktop applications developer
13180,-0.33251807387855764,3,4,5,3,Desktop applications developer
13271,-0.7660808685591572,2,4,3,4,Desktop applications developer
13622,-0.36573428602302815,3,5,4,2,Desktop applications developer
13642,-0.2176887854254132,4,4,4,3,Desktop applications developer
13643,1.218135652653845,3,3,2,2,Desktop applications developer
13644,0.6851187890883096,3,4,2,3,Desktop applications developer
13648,-1.3323139442691638,2,5,2,1,Desktop applications developer
13678,0.2337150018314483,3,4,5,3,Desktop applications developer
13906,0.2004987896869778,2,3,2,2,Desktop applications developer
14040,-1.3323139442691638,4,3,2,2,Desktop applications developer
14058,-0.36573428602302815,3,4,2,2,Desktop applications developer
14099,-1.3323139442691638,1,5,2,1,Desktop applications developer
14116,0.10351049381009496,3,3,4,2,Desktop applications developer
14125,-0.7660808685591572,4,3,3,2,Desktop applications developer
14208,0.10351049381009496,3,2,1,2,Desktop applications developer
14218,0.7488908728207221,3,4,2,2,Desktop applications developer
14226,0.330703297708331,3,4,2,3,Desktop applications developer
